dex_program,dex_name,is_named,dex_label
pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,PumpSwap,True,PumpSwap
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,HumidiFi,True,HumidiFi
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,Orca Whirlpool,True,Orca Whirlpool
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi,BisonFi,True,BisonFi
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,True,Meteora DLMM
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium CLMM,True,Raydium CLMM
ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA,AlphaQ,True,AlphaQ
SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,SolFi V2,True,SolFi V2
TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH,Tessera V,True,Tessera V
goonuddtQRrWqqn5nFyczVKaie28f3kDkHWkHtURSLE,GoonFi V2,True,GoonFi V2
HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq,PancakeSwap,True,PancakeSwap
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,Meteora DAMM v2,True,Meteora DAMM v2
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium AMM v4,True,Raydium AMM v4
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,Manifest,True,Manifest
ZERor4xhbUycZ6gb9ntrhqscUcZmAbQDjEAtCf4hbZY,ZeroFi,True,ZeroFi
AQU1FRd7papthgdrwPTTq5JacJh8YtwEXaBfKU3bTz45,Aquifer,True,Aquifer
SCoRcH8c2dpjvcJD6FiPbCSQyQgu3PcUAWj2Xxx3mqn,Scorch,True,Scorch
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,Raydium CPMM,True,Raydium CPMM
QuaNtZsgYRe5Z9Bk4LZ4cTD9tbkVoyCNf1R2BN9bBDv,Quantum,True,Quantum
goonERTdGsjnkZqWuVjs73BZ3Pb9qoCUdBUL17BnS5j,GoonFi,True,GoonFi
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,Unmapped,False,Unmapped 6EF8rr
REALQqNEomY6cQGZJUGwywTBD2UmDT32rZcNnfxQ5N2,Unmapped,False,Unmapped REALQq
swapNyd8XiQwJ6ianp9snpu4brUqFxadzvHebnAXjJZ,Unmapped,False,Unmapped swapNy
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,Unmapped,False,Unmapped Eo7WjK
DEXYosS6oEGvk8uCDayvwEZz4qEyDJRf9nFgYCaqPMTm,Unmapped,False,Unmapped DEXYos
SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe,Unmapped,False,Unmapped SoLFiH
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,Unmapped,False,Unmapped dbcij3
fUSioN9YKKSa3CUC2YUc4tPkHJ5Y6XW1yz8y6F7qWz9,Unmapped,False,Unmapped fUSioN
HyaB3W9q6XdA5xwpU4XnSZV94htfmbmqJXZcEbRaJutt,Unmapped,False,Unmapped HyaB3W
FW6zUqn4iKRaeopwwhwsquTY6ABWLLgjxtrC3VPnaWBf,Unmapped,False,Unmapped FW6zUq
9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,Unmapped,False,Unmapped 9W959D
SSwapUtytfBdBn1b9NUGG6foMVPtcWgpRU32HToDUZr,Unmapped,False,Unmapped SSwapU
FLUX6xBayGxLX9UcimVRxXFMHH6q43mAbRvDzSpCsvfK,Unmapped,False,Unmapped FLUX6x
SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,Unmapped,False,Unmapped SSwpkE
LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj,Unmapped,False,Unmapped LanMV9
BSwp6bEBihVLdqJRKGgzjcGLHkcTuzmSo1TQkHepzH8p,Unmapped,False,Unmapped BSwp6b
obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y,Unmapped,False,Unmapped obriQD
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu,Unmapped,False,Unmapped PERPHj
MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,Unmapped,False,Unmapped MERLuD
riptK81hDxhe5pW5jSzSM9iRA8azgEgLJ4dXkPtBS7j,Unmapped,False,Unmapped riptK8
swapFpHZwjELNnjvThjajtiVmkz3yPQEHjLtka2fwHW,Unmapped,False,Unmapped swapFp
Gswppe6ERWKpUTXvRPfXdzHhiCyJvLadVvXGfdpBqcE1,Unmapped,False,Unmapped Gswppe
PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,Unmapped,False,Unmapped PhoeNi
SwaPpA9LAaLfeLi3a68M4DjnLqgtticKg6CnyNwgAC8,Unmapped,False,Unmapped SwaPpA
stkitrT1Uoy18Dk1fTrgPw8W6MVzoCfYoAFT4MLsmhq,Unmapped,False,Unmapped stkitr
FUTARELBfJfQ8RDGhg1wdhddq1odMAJUePHFuBYfUxKq,Unmapped,False,Unmapped FUTARE
DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,Unmapped,False,Unmapped DjVE6J
DSwpgjMvXhtGn6BsbqmacdBZyfLj6jSWf3HJpdJtmg6N,Unmapped,False,Unmapped DSwpgj
Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,Unmapped,False,Unmapped Dooar9
