token_mint,swap_events,transactions_est,signers_est,estimate_exceeds_events,volume_usd,priced_swap_events,avg_priced_event_usd,in_volume_top50,method
1ogCsoK7ZqZwiYam9i7xq2j6Bf2LizT6iQtGSp6vCoT,169282.0,179393.0,191.0,True,,,,False,all_events
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,4436451.0,4393105.0,51921.0,False,1788312489.8368683,4436451.0,403.0952871646432,True,all_events
2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,813405.0,815582.0,21924.0,True,293419706.04523325,813405.0,360.73014801388393,True,all_events
2k8yZaJjf61unHriuqdmvbxe7CUhEYML5kVJDbcotKjU,304119.0,298797.0,5022.0,False,,,,False,all_events
2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,2407050.0,2374568.0,38378.0,False,793200412.6114455,2407050.0,329.5321711686278,True,all_events
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,891322.0,899553.0,15707.0,True,68296821.39817588,891322.0,76.62418452385992,True,all_events
3BHhMXMyyGGzLcTk6u5iJwTcV7eEGG9bWJrTKUttpump,272882.0,258251.0,88091.0,False,,,,False,all_events
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,2420113.0,2355963.0,21026.0,False,438335858.5698717,2420113.0,181.1220627176796,True,all_events
4D9jZY6nkXnm3ofmWWJVcJrvtXDMfE5Zwy8rZMy5pump,300785.0,305863.0,134109.0,True,,,,False,all_events
4FdojUmXeaFMBG6yUaoufAC5Bz7u9AwnSAMizkx5pump,212785.0,218621.0,8845.0,True,,,,False,all_events
4TyZGqRLG3VcHTGMcLBoPUmqYitMVojXinAmkL8xpump,303182.0,303632.0,3265.0,True,,,,False,all_events
4YiLHDR4B4pE4R5GUMA8HG8YunyeLwcobtEtvwMupump,154566.0,154683.0,151771.0,True,,,,False,all_events
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,588703.0,592794.0,16948.0,True,14661363.884608308,588703.0,24.90451702234965,True,all_events
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,169554.0,163196.0,5805.0,False,29242332.08518102,169554.0,172.46618826557332,True,all_events
5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,152733.0,145601.0,2248.0,False,26940960.33406612,152733.0,176.39253032459337,True,all_events
5YMkXAYccHSGnHn9nob9xEvv6Pvka9DZWH7nTbotTu9E,320932.0,308423.0,3729.0,False,,,,False,all_events
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,196151.0,197715.0,5387.0,True,128629306.50918628,196151.0,655.7667639175241,True,all_events
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,273832.0,275534.0,16694.0,True,25635701.94355613,273832.0,93.61835703481016,True,all_events
