token_mint,symbol,volume_usd,swap_events,user_swaps,avg_size_usd
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,82858169662.61705,127315003,120696657,650.8122979238908
So11111111111111111111111111111111111111112,SOL,76147021352.78624,160133434,153912777,475.52231567572727
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,19248562895.988506,34149161,32636451,563.6613706552997
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,USD1,11607454479.856121,15184601,15062058,764.4227516979946
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,1788312489.8368685,4436451,4393105,403.0952871646432
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,1740072444.5427244,6054832,5921906,287.3857515027212
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,1102389754.43858,3647155,3636514,302.2601875814381
2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,793200412.6114455,2407050,2374568,329.5321711686278
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,PUMP,663645321.4170191,4942161,4834285,134.28241642006788
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,457513627.0484513,3184763,3135769,143.65704042920973
JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD,JupUSD,455413299.8833037,1195081,1228032,381.07316565429767
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,438335858.5698717,2420113,2355963,181.1220627176796
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FARTCOIN,313023148.95484585,3442799,3398348,90.9211223062531
A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,ZEC,307571544.65593696,1832892,1791885,167.8066927325434
2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,PyUSD,293419706.04523325,813405,815582,360.73014801388393
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,243322126.3288952,1866761,1862602,130.3445520497242
DEkqHyPN7GMRJ5cArtQFAWefqbZb33Hyf6s5iCwjEonT,USDe,183642541.61723003,41092,39832,4469.058250200283
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,164449017.8665186,345470,345606,476.01533524334553
CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,xBTC,156874045.6418109,821711,834400,190.91145870240376
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,143823830.25685325,2316976,2376909,62.073940453786854
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,SCNSOL,128629306.50918628,196151,197715,655.7667639175241
7GxATsNMnaC88vdwd2t3mwrFuQwwGvmYPrUQ4D6FotXk,jlJupUSD,100160774.17819528,6013,5968,16657.371391683897
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,96016861.86113651,1475892,1510721,65.05683468786097
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,PIPPIN,89395574.42039283,621259,637335,143.8942122695894
USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,84692620.97663513,546123,543568,155.07975488422045
6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,USX,81722117.7105815,87573,87101,933.1885137037842
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,USELESS,73715888.56742327,883387,864674,83.44687953006245
AymATz4TCL9sWNEEV9Kvyz45CHVhDZ6kUgjTJPzLpU9P,XAUt0,70145109.49931091,235937,235929,297.3044054103888
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,68296821.39817588,891322,899553,76.62418452385992
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,62726407.51492362,1244711,1235801,50.39435460514418
CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,60057395.4151349,33037,32292,1817.8828409097346
METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,MET,37869219.09066626,731096,742545,51.79787482172828
XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,CRCLx,35775102.437043004,186577,184547,191.7444402956581
SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,SKR,31667768.716192733,1035751,1045544,30.574692871349132
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,29242332.08518102,169554,163196,172.46618826557332
5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,ONyc,26940960.33406612,152733,145601,176.39253032459337
XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,SPYx,26874217.474505205,164077,163812,163.79027818954032
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,25859490.871087477,772604,737252,33.47056301946078
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,ARC,25635701.94355613,273832,275534,93.61835703481015
XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,TSLAx,22979291.780975018,246970,244096,93.04487095993447
Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,QQQx,20973869.47950961,114251,108510,183.57711949575594
Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,NVDAx,19813782.34749352,187414,187730,105.72199700926035
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,18006502.106683634,245039,240298,73.48422947646552
CrAr4RRJMBVwRsZtT62pEhfA9H5utymC2mVx8e7FreP2,MON,17447480.479179695,625946,626548,27.873779014770754
HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,EURC,17236876.1570343,566719,582389,30.41520781380949
ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,ZBCN,16965343.92915729,142463,138171,119.08596568342159
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,15992076.300876062,141508,146102,113.01181771261032
DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,DBR,14945286.048252502,159468,159515,93.71965565663646
